Position,Track Name,Artist,Streams,URL,date,region
1,Adan y Eva,Paulo Londra,15810,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-01,Bolivia
2,Calma - Remix,Pedro Capó,12853,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,Bolivia
3,Desconocidos,Mau y Ricky,12649,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-01,Bolivia
4,MIA (feat. Drake),Bad Bunny,10957,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,Bolivia
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,9884,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Bolivia
6,Cuando Te Besé,Becky G,9506,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-01,Bolivia
7,Ella Quiere Beber - Remix,Anuel AA,8670,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-01,Bolivia
8,Vaina Loca,Ozuna,8148,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-01,Bolivia
9,Ya No Tiene Novio,Sebastian Yatra,8074,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-01,Bolivia
10,Puntos Suspensivos,Piso 21,6871,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-01,Bolivia
1,Adan y Eva,Paulo Londra,14049,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-02,Bolivia
2,Calma - Remix,Pedro Capó,11749,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-02,Bolivia
3,Desconocidos,Mau y Ricky,11749,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-02,Bolivia
4,MIA (feat. Drake),Bad Bunny,9560,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-02,Bolivia
5,Cuando Te Besé,Becky G,8311,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-02,Bolivia
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,7987,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,Bolivia
7,Ella Quiere Beber - Remix,Anuel AA,7590,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-02,Bolivia
8,Vaina Loca,Ozuna,6899,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-02,Bolivia
9,Puntos Suspensivos,Piso 21,6741,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-02,Bolivia
