Position,Track Name,Artist,Streams,URL,date,region
1,Calma - Remix,Pedro Capó,98212,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,Columbia
2,Adan y Eva,Paulo Londra,62853,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-01,Columbia
3,Desconocidos,Mau y Ricky,53957,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-01,Columbia
4,MIA (feat. Drake),Bad Bunny,46640,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,Columbia
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,42882,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Columbia
6,Vaina Loca,Ozuna,39663,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-01,Columbia
7,Ella Quiere Beber - Remix,Anuel AA,38603,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-01,Columbia
8,Reggaeton,J Balvin,37652,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-01,Columbia
9,No Es Justo,J Balvin,35779,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019-01-01,Columbia
10,Ya No Tiene Novio,Sebastian Yatra,32203,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-01,Columbia
1,Calma - Remix,Pedro Capó,99744,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-02,Columbia
2,Adan y Eva,Paulo Londra,72487,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-02,Columbia
3,Desconocidos,Mau y Ricky,63098,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-02,Columbia
4,MIA (feat. Drake),Bad Bunny,53949,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-02,Columbia
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,46478,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,Columbia
6,Vaina Loca,Ozuna,45368,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-02,Columbia
7,Ella Quiere Beber - Remix,Anuel AA,44232,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-02,Columbia
8,Reggaeton,J Balvin,41219,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-02,Columbia
9,Pa Olvidarte,ChocQuibTown,40059,https://open.spotify.com/track/0NCMHQFpWVDK199pKR2Y7V,2019-01-02,Columbia
10,No Es Justo,J Balvin,39126,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019-01-02,Columbia
1,Calma - Remix,Pedro Capó,100685,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-03,Columbia
2,Adan y Eva,Paulo Londra,74519,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-03,Columbia
3,Desconocidos,Mau y Ricky,63422,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-03,Columbia
4,MIA (feat. Drake),Bad Bunny,56036,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-03,Columbia
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,47145,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-03,Columbia
6,Vaina Loca,Ozuna,46705,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-03,Columbia
7,Ella Quiere Beber - Remix,Anuel AA,45136,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-03,Columbia
8,Reggaeton,J Balvin,42185,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-03,Columbia
9,Pa Olvidarte,ChocQuibTown,41663,https://open.spotify.com/track/0NCMHQFpWVDK199pKR2Y7V,2019-01-03,Columbia
10,No Es Justo,J Balvin,39987,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019-01-03,Columbia
1,Calma - Remix,Pedro Capó,104715,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-04,Columbia
2,Adan y Eva,Paulo Londra,78361,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-04,Columbia
3,Desconocidos,Mau y Ricky,67840,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-04,Columbia
4,MIA (feat. Drake),Bad Bunny,58683,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-04,Columbia
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,49455,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-04,Columbia
6,Vaina Loca,Ozuna,48850,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-04,Columbia
7,Ella Quiere Beber - Remix,Anuel AA,47934,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-04,Columbia
8,Reggaeton,J Balvin,44827,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-04,Columbia
9,Pa Olvidarte,ChocQuibTown,42960,https://open.spotify.com/track/0NCMHQFpWVDK199pKR2Y7V,2019-01-04,Columbia
10,No Es Justo,J Balvin,42186,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019-01-04,Columbia
1,Calma - Remix,Pedro Capó,105541,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-05,Columbia
2,Adan y Eva,Paulo Londra,77953,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-05,Columbia
3,Desconocidos,Mau y Ricky,67696,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-05,Columbia
4,MIA (feat. Drake),Bad Bunny,57825,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-05,Columbia
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,49335,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-05,Columbia
6,Vaina Loca,Ozuna,48469,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-05,Columbia
7,Ella Quiere Beber - Remix,Anuel AA,48330,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-05,Columbia
8,Reggaeton,J Balvin,44594,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-05,Columbia
9,Pa Olvidarte,ChocQuibTown,42746,https://open.spotify.com/track/0NCMHQFpWVDK199pKR2Y7V,2019-01-05,Columbia
10,No Es Justo,J Balvin,41876,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019-01-05,Columbia
1,Calma - Remix,Pedro Capó,91320,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-06,Columbia
2,Adan y Eva,Paulo Londra,67374,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-06,Columbia
3,Desconocidos,Mau y Ricky,58170,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-06,Columbia
4,MIA (feat. Drake),Bad Bunny,49737,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-06,Columbia
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,42211,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-06,Columbia
6,Vaina Loca,Ozuna,41565,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-06,Columbia
7,Ella Quiere Beber - Remix,Anuel AA,41295,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-06,Columbia
8,Reggaeton,J Balvin,37746,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-06,Columbia
9,Pa Olvidarte,ChocQuibTown,37066,https://open.spotify.com/track/0NCMHQFpWVDK199pKR2Y7V,2019-01-06,Columbia
10,No Es Justo,J Balvin,36359,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019-01-06,Columbia
1,Calma - Remix,Pedro Capó,86563,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-07,Columbia
2,Adan y Eva,Paulo Londra,66140,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-07,Columbia
3,Desconocidos,Mau y Ricky,56823,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-07,Columbia
