Position,Track Name,Artist,Streams,URL,date,region
1,今夜このまま,Aimyon,33176,https://open.spotify.com/track/0sSG83UxY15ft1E2N9THYF,2019-01-01,Japan
2,マリーゴールド,Aimyon,32759,https://open.spotify.com/track/0jWVUKsIoyo3zw64RaEWYg,2019-01-01,Japan
3,U.S.A.,DA PUMP,30172,https://open.spotify.com/track/5HXCP7b8k64WdZ1G0Bbc13,2019-01-01,Japan
4,君はロックを聴かない,Aimyon,28155,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM,2019-01-01,Japan
5,打上花火,DAOKO×米津玄師,28140,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa,2019-01-01,Japan
6,Ainokatachi (feat. HIDE (GReeeeN)),MISIA,20929,https://open.spotify.com/track/76flsS3UnNr7UQIz6JmVT3,2019-01-01,Japan
7,Bohemian Rhapsody - 2011 Mix,Queen,20014,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-01-01,Japan
8,愛を伝えたいだとか,Aimyon,19893,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO,2019-01-01,Japan
9,Shape of You,Ed Sheeran,19815,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-01-01,Japan
10,ワタリドリ,[Alexandros],18551,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o,2019-01-01,Japan
1,今夜このまま,Aimyon,39662,https://open.spotify.com/track/0sSG83UxY15ft1E2N9THYF,2019-01-02,Japan
2,マリーゴールド,Aimyon,38332,https://open.spotify.com/track/0jWVUKsIoyo3zw64RaEWYg,2019-01-02,Japan
3,U.S.A.,DA PUMP,33405,https://open.spotify.com/track/5HXCP7b8k64WdZ1G0Bbc13,2019-01-02,Japan
4,君はロックを聴かない,Aimyon,33125,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM,2019-01-02,Japan
5,打上花火,DAOKO×米津玄師,31338,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa,2019-01-02,Japan
6,愛を伝えたいだとか,Aimyon,24371,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO,2019-01-02,Japan
7,Ainokatachi (feat. HIDE (GReeeeN)),MISIA,24007,https://open.spotify.com/track/76flsS3UnNr7UQIz6JmVT3,2019-01-02,Japan
8,Shape of You,Ed Sheeran,23346,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019-01-02,Japan
9,Bohemian Rhapsody - 2011 Mix,Queen,23077,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-01-02,Japan
