Position,Track Name,Artist,Streams,URL,date,region
1,"thank u, next",Ariana Grande,6166,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,Vietnam
2,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,5283,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-01,Vietnam
3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,5246,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,Vietnam
4,Anh Đếch Cần Gì Nhiều Ngoài Em,Đen,4689,https://open.spotify.com/track/7GxSshyjKx46dlIV2UoVrc,2019-01-01,Vietnam
5,SOLO,JENNIE,4458,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-01,Vietnam
6,Without Me,Halsey,4145,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-01,Vietnam
7,Thuong Em La Dieu Anh Khong The Ngo,Noo Phước Thịnh,3328,https://open.spotify.com/track/2gT5LL3uRANxvvmDxaULbQ,2019-01-01,Vietnam
8,Em Khong The,Tien Tien,3317,https://open.spotify.com/track/6UgaKUJSO0Xp47x6pL1LaA,2019-01-01,Vietnam
9,Thanh Xuan,Da LAB,3288,https://open.spotify.com/track/3b34161QoxLwsqhWSPy9i5,2019-01-01,Vietnam
10,Girls Like You (feat. Cardi B),Maroon 5,2945,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-01-01,Vietnam
1,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,6214,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-02,Vietnam
2,"thank u, next",Ariana Grande,5916,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-02,Vietnam
3,Anh Đếch Cần Gì Nhiều Ngoài Em,Đen,5509,https://open.spotify.com/track/7GxSshyjKx46dlIV2UoVrc,2019-01-02,Vietnam
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,5303,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-02,Vietnam
5,Without Me,Halsey,4533,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-02,Vietnam
6,SOLO,JENNIE,4509,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-02,Vietnam
7,Thuong Em La Dieu Anh Khong The Ngo,Noo Phước Thịnh,4210,https://open.spotify.com/track/2gT5LL3uRANxvvmDxaULbQ,2019-01-02,Vietnam
8,Em Khong The,Tien Tien,3986,https://open.spotify.com/track/6UgaKUJSO0Xp47x6pL1LaA,2019-01-02,Vietnam
9,Thanh Xuan,Da LAB,3844,https://open.spotify.com/track/3b34161QoxLwsqhWSPy9i5,2019-01-02,Vietnam
10,Moi Anh Vao Team Em,Chi Pu,3096,https://open.spotify.com/track/1D4VWPeg74fsfBfuTlPVam,2019-01-02,Vietnam
1,"thank u, next",Ariana Grande,5866,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-03,Vietnam
2,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,5666,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-03,Vietnam
3,Anh Đếch Cần Gì Nhiều Ngoài Em,Đen,5253,https://open.spotify.com/track/7GxSshyjKx46dlIV2UoVrc,2019-01-03,Vietnam
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4988,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-03,Vietnam
5,Without Me,Halsey,4899,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-03,Vietnam
6,SOLO,JENNIE,4404,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-03,Vietnam
7,Thuong Em La Dieu Anh Khong The Ngo,Noo Phước Thịnh,3870,https://open.spotify.com/track/2gT5LL3uRANxvvmDxaULbQ,2019-01-03,Vietnam
8,Em Khong The,Tien Tien,3860,https://open.spotify.com/track/6UgaKUJSO0Xp47x6pL1LaA,2019-01-03,Vietnam
9,Thanh Xuan,Da LAB,3708,https://open.spotify.com/track/3b34161QoxLwsqhWSPy9i5,2019-01-03,Vietnam
10,Let Me Down Slowly,Alec Benjamin,3694,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-01-03,Vietnam
1,"thank u, next",Ariana Grande,6249,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-04,Vietnam
2,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,6000,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-04,Vietnam
3,Anh Đếch Cần Gì Nhiều Ngoài Em,Đen,5420,https://open.spotify.com/track/7GxSshyjKx46dlIV2UoVrc,2019-01-04,Vietnam
4,Without Me,Halsey,5036,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-04,Vietnam
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4959,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-04,Vietnam
6,SOLO,JENNIE,4828,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-04,Vietnam
