Position,Track Name,Artist,Streams,URL,date,region
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,47901,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,Malaysia
2,"thank u, next",Ariana Grande,41955,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,Malaysia
3,Without Me,Halsey,33543,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-01,Malaysia
4,SOLO,JENNIE,32967,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-01,Malaysia
5,Be Alright,Dean Lewis,26867,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-01,Malaysia
6,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,26731,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-01,Malaysia
7,Love Someone,Lukas Graham,22871,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-01,Malaysia
8,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,22319,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Malaysia
9,Beautiful (feat. Camila Cabello),Bazzi,22137,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-01,Malaysia
10,Kiss and Make Up,Dua Lipa,21374,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019-01-01,Malaysia
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,52664,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-02,Malaysia
2,"thank u, next",Ariana Grande,44786,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-02,Malaysia
3,Without Me,Halsey,37937,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-02,Malaysia
4,SOLO,JENNIE,35229,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-02,Malaysia
5,Be Alright,Dean Lewis,30745,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-02,Malaysia
6,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,30247,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-02,Malaysia
7,Love Someone,Lukas Graham,26744,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-02,Malaysia
8,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,25025,https://open.spotify.com/track/3ayrHkyorPEpeOBvZ76SwG,2019-01-02,Malaysia
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,24498,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,Malaysia
10,Kiss and Make Up,Dua Lipa,24288,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019-01-02,Malaysia
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,51047,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-03,Malaysia
2,"thank u, next",Ariana Grande,43634,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-03,Malaysia
3,Without Me,Halsey,36080,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-03,Malaysia
4,SOLO,JENNIE,33567,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-03,Malaysia
5,Be Alright,Dean Lewis,30269,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-03,Malaysia
6,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,29956,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-03,Malaysia
7,Love Someone,Lukas Graham,25946,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-03,Malaysia
8,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,23612,https://open.spotify.com/track/3ayrHkyorPEpeOBvZ76SwG,2019-01-03,Malaysia
9,Beautiful (feat. Camila Cabello),Bazzi,23522,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-03,Malaysia
10,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,23232,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-01-03,Malaysia
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,51973,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-04,Malaysia
2,"thank u, next",Ariana Grande,45386,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-04,Malaysia
3,Without Me,Halsey,36868,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-04,Malaysia
4,SOLO,JENNIE,34633,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-04,Malaysia
5,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,31794,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-04,Malaysia
6,Be Alright,Dean Lewis,29459,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-04,Malaysia
7,Love Someone,Lukas Graham,25590,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-04,Malaysia
8,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,24740,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-04,Malaysia
9,Beautiful (feat. Camila Cabello),Bazzi,24364,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-04,Malaysia
10,Wow.,Post Malone,24286,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-04,Malaysia
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,49725,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-05,Malaysia
2,"thank u, next",Ariana Grande,43983,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-05,Malaysia
3,Without Me,Halsey,36222,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-05,Malaysia
4,SOLO,JENNIE,35470,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-05,Malaysia
5,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,31053,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-05,Malaysia
6,Be Alright,Dean Lewis,27787,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-05,Malaysia
7,Love Someone,Lukas Graham,25416,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-05,Malaysia
8,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,24174,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-05,Malaysia
9,Beautiful (feat. Camila Cabello),Bazzi,23415,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-05,Malaysia
10,Wow.,Post Malone,23330,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-05,Malaysia
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,48761,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-06,Malaysia
2,"thank u, next",Ariana Grande,42609,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-06,Malaysia
3,Without Me,Halsey,34973,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-06,Malaysia
4,SOLO,JENNIE,34057,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-06,Malaysia
5,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,31654,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-06,Malaysia
6,Be Alright,Dean Lewis,27763,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-06,Malaysia
7,Love Someone,Lukas Graham,23793,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-06,Malaysia
8,Wow.,Post Malone,23121,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-06,Malaysia
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,22705,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-06,Malaysia
10,Beautiful (feat. Camila Cabello),Bazzi,22311,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-06,Malaysia
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,49760,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-07,Malaysia
2,"thank u, next",Ariana Grande,42345,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-07,Malaysia
3,Without Me,Halsey,36630,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-07,Malaysia
4,SOLO,JENNIE,34797,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-07,Malaysia
5,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,32875,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-07,Malaysia
6,Be Alright,Dean Lewis,31303,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-07,Malaysia
7,Love Someone,Lukas Graham,26745,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-07,Malaysia
8,Beautiful (feat. Camila Cabello),Bazzi,25000,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-07,Malaysia
9,Wow.,Post Malone,24990,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-07,Malaysia
10,Saturday Nights,Khalid,24055,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-01-07,Malaysia
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,50067,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-08,Malaysia
