Position,Track Name,Artist,Streams,URL,date,region
1,"thank u, next",Ariana Grande,3978028,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,global
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3883836,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,global
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3351784,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,global
4,Wow.,Post Malone,3195966,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-01,global
5,MIA (feat. Drake),Bad Bunny,2777884,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,global
6,SICKO MODE,Travis Scott,2624453,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-01,global
7,Without Me,Halsey,2618489,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-01,global
8,Sweet but Psycho,Ava Max,2432084,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-01,global
9,Calma - Remix,Pedro Capó,2385494,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,global
10,Happier,Marshmello,2385450,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-01,global
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4323160,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-02,global
2,"thank u, next",Ariana Grande,4275439,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-02,global
3,Wow.,Post Malone,3947420,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-02,global
4,Without Me,Halsey,3307383,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-02,global
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3188386,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,global
6,Sweet but Psycho,Ava Max,2896056,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-02,global
7,MIA (feat. Drake),Bad Bunny,2642425,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-02,global
8,Happier,Marshmello,2598097,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-02,global
9,SICKO MODE,Travis Scott,2512089,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-02,global
10,Calma - Remix,Pedro Capó,2419735,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-02,global
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4426149,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-03,global
2,"thank u, next",Ariana Grande,4320260,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-03,global
3,Wow.,Post Malone,4053717,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-03,global
4,Without Me,Halsey,3387195,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-03,global
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3268561,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-03,global
6,Sweet but Psycho,Ava Max,2925728,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-03,global
7,MIA (feat. Drake),Bad Bunny,2730853,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-03,global
8,Happier,Marshmello,2644229,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-03,global
9,SICKO MODE,Travis Scott,2599209,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-03,global
10,Calma - Remix,Pedro Capó,2586498,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-03,global
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4403984,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-04,global
2,"thank u, next",Ariana Grande,4385311,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-04,global
3,Wow.,Post Malone,4236254,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-04,global
4,Without Me,Halsey,3429009,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-04,global
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3403518,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-04,global
6,Sweet but Psycho,Ava Max,3045812,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-04,global
7,MIA (feat. Drake),Bad Bunny,2864676,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-04,global
8,Calma - Remix,Pedro Capó,2765173,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-04,global
9,Happier,Marshmello,2704607,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-04,global
10,SICKO MODE,Travis Scott,2691489,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-04,global
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,4221599,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-05,global
2,"thank u, next",Ariana Grande,4194463,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-05,global
3,Wow.,Post Malone,3907312,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-05,global
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,3441220,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-05,global
5,Without Me,Halsey,3260378,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-05,global
