Position,Track Name,Artist,Streams,URL,date,region
1,Calma - Remix,Pedro Capó,11309,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,Honduras
2,MIA (feat. Drake),Bad Bunny,9449,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,Honduras
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,8208,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Honduras
4,Ella Quiere Beber - Remix,Anuel AA,7583,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-01,Honduras
5,Adan y Eva,Paulo Londra,7564,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-01,Honduras
6,Solo de Mi,Bad Bunny,6694,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-01,Honduras
7,Bubalu,Becky G,6178,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-01,Honduras
8,Adictiva,Daddy Yankee,6080,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-01,Honduras
9,Vaina Loca,Ozuna,5658,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-01,Honduras
10,Ni Gucci Ni Prada,Kenny Man,5547,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019-01-01,Honduras
1,Calma - Remix,Pedro Capó,9871,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-02,Honduras
2,MIA (feat. Drake),Bad Bunny,7825,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-02,Honduras
3,Adan y Eva,Paulo Londra,6865,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-02,Honduras
4,Solo de Mi,Bad Bunny,6581,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-02,Honduras
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,5954,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,Honduras
6,Ella Quiere Beber - Remix,Anuel AA,5946,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-02,Honduras
7,Bubalu,Becky G,5625,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-02,Honduras
8,Adictiva,Daddy Yankee,5052,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-02,Honduras
9,Ni Gucci Ni Prada,Kenny Man,4464,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019-01-02,Honduras
10,Vaina Loca,Ozuna,4438,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-02,Honduras
1,Calma - Remix,Pedro Capó,10051,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-03,Honduras
2,MIA (feat. Drake),Bad Bunny,7950,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-03,Honduras
3,Adan y Eva,Paulo Londra,7265,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-03,Honduras
4,Solo de Mi,Bad Bunny,7059,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-03,Honduras
5,Ella Quiere Beber - Remix,Anuel AA,6131,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-03,Honduras
6,Bubalu,Becky G,6030,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-03,Honduras
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,6030,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-03,Honduras
8,Adictiva,Daddy Yankee,5221,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-03,Honduras
9,Amanece,Anuel AA,4568,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-03,Honduras
10,Vaina Loca,Ozuna,4533,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-03,Honduras
1,Calma - Remix,Pedro Capó,10786,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-04,Honduras
2,MIA (feat. Drake),Bad Bunny,7912,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-04,Honduras
3,Adan y Eva,Paulo Londra,7595,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-04,Honduras
4,Solo de Mi,Bad Bunny,6918,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-04,Honduras
5,Ella Quiere Beber - Remix,Anuel AA,6330,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-04,Honduras
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,6178,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-04,Honduras
7,Bubalu,Becky G,5952,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-04,Honduras
8,Adictiva,Daddy Yankee,5307,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-04,Honduras
9,Amanece,Anuel AA,4705,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-04,Honduras
10,Ni Gucci Ni Prada,Kenny Man,4672,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019-01-04,Honduras
1,Calma - Remix,Pedro Capó,11304,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-05,Honduras
2,MIA (feat. Drake),Bad Bunny,8499,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-05,Honduras
3,Adan y Eva,Paulo Londra,7974,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-05,Honduras
4,Solo de Mi,Bad Bunny,7091,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-05,Honduras
5,Ella Quiere Beber - Remix,Anuel AA,6649,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-05,Honduras
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,6442,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-05,Honduras
7,Bubalu,Becky G,6221,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-05,Honduras
8,Adictiva,Daddy Yankee,5601,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-05,Honduras
