Position,Track Name,Artist,Streams,URL,date,region
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,15135,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Panama
2,MIA (feat. Drake),Bad Bunny,15073,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,Panama
3,Calma - Remix,Pedro Capó,14802,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,Panama
4,Ella Quiere Beber - Remix,Anuel AA,14482,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-01,Panama
5,Adan y Eva,Paulo Londra,12909,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-01,Panama
6,Vaina Loca,Ozuna,12111,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-01,Panama
7,Adictiva,Daddy Yankee,11895,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-01,Panama
8,Solo de Mi,Bad Bunny,11477,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-01,Panama
9,Lollipop,Boza,11450,https://open.spotify.com/track/4AFdUHHDslEOgQOzGjIJwJ,2019-01-01,Panama
10,Bubalu,Becky G,11227,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-01,Panama
1,Calma - Remix,Pedro Capó,13534,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-02,Panama
2,MIA (feat. Drake),Bad Bunny,11824,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-02,Panama
3,Adan y Eva,Paulo Londra,11541,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-02,Panama
4,Solo de Mi,Bad Bunny,11506,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-02,Panama
5,Lollipop,Boza,11305,https://open.spotify.com/track/4AFdUHHDslEOgQOzGjIJwJ,2019-01-02,Panama
6,Ella Quiere Beber - Remix,Anuel AA,10618,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-02,Panama
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,10255,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,Panama
8,Bubalu,Becky G,9731,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-02,Panama
9,Adictiva,Daddy Yankee,9603,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-02,Panama
10,Vaina Loca,Ozuna,8703,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-02,Panama
1,Calma - Remix,Pedro Capó,13991,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-03,Panama
