Position,Track Name,Artist,Streams,URL,date,region
1,Benzema,Capital Bra,28947,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019-01-01,Austria
2,Sweet but Psycho,Ava Max,23541,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-01,Austria
3,HaifischNikez Allstars,LX,20801,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019-01-01,Austria
4,High Hopes,Panic! At The Disco,18443,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-01,Austria
5,Baller los,MERO,18017,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019-01-01,Austria
6,Tausend Tattoos,Sido,17174,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019-01-01,Austria
7,Lelele,Azet,14763,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019-01-01,Austria
8,500 PS,Bonez MC,13230,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019-01-01,Austria
9,In My Mind,Dynoro,12849,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-01,Austria
10,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,12224,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019-01-01,Austria
11,Happier,Marshmello,11498,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-01,Austria
12,Feuer,Capital Bra,11275,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019-01-01,Austria
13,Be Alright,Dean Lewis,10517,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-01,Austria
14,Wow.,Post Malone,10223,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-01,Austria
15,Perfekt (feat. Sofiane),RAF Camora,9950,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr,2019-01-01,Austria
16,"thank u, next",Ariana Grande,9443,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,Austria
17,Zoey,Nimo,9350,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc,2019-01-01,Austria
18,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,9303,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Austria
19,Kokain,Bonez MC,9294,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf,2019-01-01,Austria
20,Without Me,Halsey,9275,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-01,Austria
1,Benzema,Capital Bra,35174,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019-01-02,Austria
2,Sweet but Psycho,Ava Max,29463,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-02,Austria
3,HaifischNikez Allstars,LX,25397,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019-01-02,Austria
4,High Hopes,Panic! At The Disco,22520,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-02,Austria
5,Baller los,MERO,22221,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019-01-02,Austria
6,Tausend Tattoos,Sido,22094,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019-01-02,Austria
7,Lelele,Azet,18512,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019-01-02,Austria
8,500 PS,Bonez MC,16150,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019-01-02,Austria
9,Be Alright,Dean Lewis,15001,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-02,Austria
10,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,14637,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019-01-02,Austria
11,Feuer,Capital Bra,14180,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019-01-02,Austria
12,Wow.,Post Malone,14150,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-02,Austria
13,Happier,Marshmello,13893,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-02,Austria
14,In My Mind,Dynoro,13742,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-02,Austria
15,Without Me,Halsey,12978,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-02,Austria
16,Perfekt (feat. Sofiane),RAF Camora,12966,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr,2019-01-02,Austria
17,Zoey,Nimo,12273,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc,2019-01-02,Austria
18,"thank u, next",Ariana Grande,12010,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-02,Austria
19,Cataleya,Samra,11717,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR,2019-01-02,Austria
20,Kokain,Bonez MC,11595,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf,2019-01-02,Austria
1,Benzema,Capital Bra,34237,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019-01-03,Austria
2,Sweet but Psycho,Ava Max,29082,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-03,Austria
3,HaifischNikez Allstars,LX,24184,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019-01-03,Austria
4,High Hopes,Panic! At The Disco,22355,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-03,Austria
5,Tausend Tattoos,Sido,22051,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019-01-03,Austria
6,Baller los,MERO,21952,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019-01-03,Austria
7,Lelele,Azet,18004,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019-01-03,Austria
8,500 PS,Bonez MC,15918,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019-01-03,Austria
9,Be Alright,Dean Lewis,15703,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-03,Austria
10,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,14825,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019-01-03,Austria
11,Wow.,Post Malone,14433,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-03,Austria
12,Feuer,Capital Bra,13990,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019-01-03,Austria
13,Happier,Marshmello,13739,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-03,Austria
14,In My Mind,Dynoro,13538,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-03,Austria
15,Without Me,Halsey,13144,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-03,Austria
16,Perfekt (feat. Sofiane),RAF Camora,12912,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr,2019-01-03,Austria
17,Zoey,Nimo,12164,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc,2019-01-03,Austria
18,"thank u, next",Ariana Grande,11875,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-03,Austria
19,Cataleya,Samra,11668,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR,2019-01-03,Austria
20,Kokain,Bonez MC,11568,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf,2019-01-03,Austria
1,Benzema,Capital Bra,35199,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019-01-04,Austria
2,Sweet but Psycho,Ava Max,30131,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-04,Austria
3,HaifischNikez Allstars,LX,24981,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019-01-04,Austria
4,High Hopes,Panic! At The Disco,23624,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-04,Austria
5,Baller los,MERO,22772,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019-01-04,Austria
6,Tausend Tattoos,Sido,22542,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019-01-04,Austria
7,Lelele,Azet,18365,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019-01-04,Austria
8,"Crack, Koks, Piece Unternehmen",Nash,17123,https://open.spotify.com/track/7Kl0tRgiMu5USwbZM5274a,2019-01-04,Austria
9,500 PS,Bonez MC,16407,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019-01-04,Austria
10,Be Alright,Dean Lewis,15193,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-04,Austria
11,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,15169,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019-01-04,Austria
12,Wow.,Post Malone,14827,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-04,Austria
13,Feuer,Capital Bra,14336,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019-01-04,Austria
14,Happier,Marshmello,13912,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-04,Austria
15,In My Mind,Dynoro,13870,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-04,Austria
16,Without Me,Halsey,13711,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-04,Austria
17,Perfekt (feat. Sofiane),RAF Camora,13267,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr,2019-01-04,Austria
18,Zoey,Nimo,12533,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc,2019-01-04,Austria
19,"thank u, next",Ariana Grande,12246,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-04,Austria
20,Cataleya,Samra,12053,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR,2019-01-04,Austria
1,Benzema,Capital Bra,32559,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019-01-05,Austria
2,Sweet but Psycho,Ava Max,29146,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-05,Austria
3,High Hopes,Panic! At The Disco,23184,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-05,Austria
4,HaifischNikez Allstars,LX,22558,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019-01-05,Austria
5,Baller los,MERO,21299,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019-01-05,Austria
6,Tausend Tattoos,Sido,21209,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019-01-05,Austria
7,Lelele,Azet,17189,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019-01-05,Austria
8,500 PS,Bonez MC,15521,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019-01-05,Austria
9,Be Alright,Dean Lewis,14383,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-05,Austria
10,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,14301,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019-01-05,Austria
11,Wow.,Post Malone,13757,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-05,Austria
12,"Crack, Koks, Piece Unternehmen",Nash,13753,https://open.spotify.com/track/7Kl0tRgiMu5USwbZM5274a,2019-01-05,Austria
13,Feuer,Capital Bra,13250,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019-01-05,Austria
14,In My Mind,Dynoro,13233,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-05,Austria
15,Happier,Marshmello,12647,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-05,Austria
16,Without Me,Halsey,12567,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-05,Austria
17,Perfekt (feat. Sofiane),RAF Camora,12188,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr,2019-01-05,Austria
18,Zoey,Nimo,11892,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc,2019-01-05,Austria
19,Speechless (feat. Erika Sirola),Robin Schulz,11647,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,2019-01-05,Austria
20,"thank u, next",Ariana Grande,11274,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-05,Austria
1,Benzema,Capital Bra,26956,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019-01-06,Austria
2,Sweet but Psycho,Ava Max,25395,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-06,Austria
3,High Hopes,Panic! At The Disco,20230,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-06,Austria
4,HaifischNikez Allstars,LX,18700,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019-01-06,Austria
5,Tausend Tattoos,Sido,18467,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019-01-06,Austria
6,Baller los,MERO,17421,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019-01-06,Austria
7,Be Alright,Dean Lewis,13848,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-06,Austria
8,Lelele,Azet,13801,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019-01-06,Austria
9,500 PS,Bonez MC,13249,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019-01-06,Austria
10,Wow.,Post Malone,12219,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-06,Austria
11,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,12176,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019-01-06,Austria
12,Without Me,Halsey,11630,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-06,Austria
13,Happier,Marshmello,11564,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-06,Austria
14,"Crack, Koks, Piece Unternehmen",Nash,11219,https://open.spotify.com/track/7Kl0tRgiMu5USwbZM5274a,2019-01-06,Austria
15,Feuer,Capital Bra,11131,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019-01-06,Austria
16,In My Mind,Dynoro,10903,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-06,Austria
17,"thank u, next",Ariana Grande,10394,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-06,Austria
18,Speechless (feat. Erika Sirola),Robin Schulz,10222,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,2019-01-06,Austria
19,Perfekt (feat. Sofiane),RAF Camora,10128,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr,2019-01-06,Austria
20,Zoey,Nimo,9487,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc,2019-01-06,Austria
1,Benzema,Capital Bra,35018,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019-01-07,Austria
2,Sweet but Psycho,Ava Max,30656,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-07,Austria
3,HaifischNikez Allstars,LX,26617,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019-01-07,Austria
4,High Hopes,Panic! At The Disco,24125,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-07,Austria
5,Tausend Tattoos,Sido,22051,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019-01-07,Austria
6,Baller los,MERO,21741,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019-01-07,Austria
7,Lelele,Azet,18629,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019-01-07,Austria
8,Wow.,Post Malone,16380,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-07,Austria
9,Be Alright,Dean Lewis,15605,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-07,Austria
10,500 PS,Bonez MC,15325,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019-01-07,Austria
11,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,14861,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019-01-07,Austria
12,Without Me,Halsey,14227,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-07,Austria
13,"Crack, Koks, Piece Unternehmen",Nash,13660,https://open.spotify.com/track/7Kl0tRgiMu5USwbZM5274a,2019-01-07,Austria
14,Feuer,Capital Bra,13646,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019-01-07,Austria
15,Happier,Marshmello,13234,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-07,Austria
16,Perfekt (feat. Sofiane),RAF Camora,12875,https://open.spotify.com/track/38KR9aB0bPkjM4gKhKr7tr,2019-01-07,Austria
17,Speechless (feat. Erika Sirola),Robin Schulz,12435,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,2019-01-07,Austria
