Position,Track Name,Artist,Streams,URL,date,region
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,235128,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,Australia
2,"thank u, next",Ariana Grande,208884,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,Australia
3,Without Me,Halsey,199646,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-01,Australia
4,Wow.,Post Malone,184674,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-01,Australia
5,Sweet but Psycho,Ava Max,181987,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-01,Australia
6,Eastside (with Halsey & Khalid),benny blanco,152363,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-01-01,Australia
7,Better,Khalid,132569,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-01-01,Australia
8,Shotgun,George Ezra,132262,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019-01-01,Australia
9,SICKO MODE,Travis Scott,125835,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-01,Australia
10,Happier,Marshmello,118883,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-01,Australia
11,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,117297,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019-01-01,Australia
12,Youngblood,5 Seconds of Summer,107495,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-01-01,Australia
13,Be Alright,Dean Lewis,107307,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-01,Australia
14,Bad Liar,Imagine Dragons,104714,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019-01-01,Australia
15,Body (feat. brando),Loud Luxury,102998,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019-01-01,Australia
16,when the party's over,Billie Eilish,101875,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-01-01,Australia
17,Shallow,Lady Gaga,93693,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-01,Australia
18,imagine,Ariana Grande,92543,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019-01-01,Australia
