Position,Track Name,Artist,Streams,URL,date,region
1,Sweet but Psycho,Ava Max,25737,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-01,Belgium
2,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,21018,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Belgium
3,"thank u, next",Ariana Grande,20746,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,Belgium
4,In My Mind,Dynoro,19854,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-01,Belgium
5,Be Alright,Dean Lewis,19404,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-01,Belgium
6,Leef,André Hazes Jr.,18567,https://open.spotify.com/track/1MZkpg4JmhAWCvysue8VDd,2019-01-01,Belgium
7,High Hopes,Panic! At The Disco,18418,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-01,Belgium
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,16525,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,Belgium
9,Happier,Marshmello,15990,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-01,Belgium
10,Without Me,Halsey,15808,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-01,Belgium
11,Djadja,Aya Nakamura,15428,https://open.spotify.com/track/7sKDftgGirHWTVFMtJoDoh,2019-01-01,Belgium
12,Shallow,Lady Gaga,14967,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-01,Belgium
13,Wow.,Post Malone,14751,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-01,Belgium
14,One Kiss (with Dua Lipa),Calvin Harris,14573,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019-01-01,Belgium
15,Promises (with Sam Smith),Calvin Harris,14438,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-01-01,Belgium
16,Shotgun,George Ezra,14344,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019-01-01,Belgium
17,Tout oublier,Angèle,13903,https://open.spotify.com/track/06O3hxudc6V0BOuoCFSy71,2019-01-01,Belgium
18,Youngblood,5 Seconds of Summer,13788,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-01-01,Belgium
19,SAD!,XXXTENTACION,12345,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-01-01,Belgium
20,Bohemian Rhapsody - 2011 Mix,Queen,12224,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-01-01,Belgium
1,Sweet but Psycho,Ava Max,33778,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-02,Belgium
2,"thank u, next",Ariana Grande,26036,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-02,Belgium
3,Be Alright,Dean Lewis,25096,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-02,Belgium
4,High Hopes,Panic! At The Disco,25079,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-02,Belgium
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,22494,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,Belgium
6,Without Me,Halsey,22491,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-02,Belgium
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,21552,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-02,Belgium
8,In My Mind,Dynoro,21421,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-02,Belgium
9,Happier,Marshmello,20470,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-02,Belgium
10,Wow.,Post Malone,20309,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-02,Belgium
11,Shallow,Lady Gaga,19166,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-02,Belgium
12,Youngblood,5 Seconds of Summer,18160,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019-01-02,Belgium
