Position,Track Name,Artist,Streams,URL,date,region
1,Atrasadinha - Ao Vivo,Felipe Araújo,868297,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb,2019-01-01,Brazil
2,Parado no Bailão,MC L da Vinte,707197,https://open.spotify.com/track/3Hb9kUdm4yf839Fle4RIdT,2019-01-01,Brazil
3,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,670097,https://open.spotify.com/track/2qkNnJvQvhLiZ63X1L3eFz,2019-01-01,Brazil
4,Ciumeira - Ao Vivo,Marília Mendonça,653246,https://open.spotify.com/track/2H1liABu20HXBOmbt5SQz1,2019-01-01,Brazil
5,Só Pra Castigar,Wesley Safadão,639439,https://open.spotify.com/track/2X8sssaxS5GReg6945B6RW,2019-01-01,Brazil
6,Quem Me Dera,Márcia Fellipe,637571,https://open.spotify.com/track/2lAyctg5FocS67eksHoyIg,2019-01-01,Brazil
7,Agora é Tudo Meu,Dennis DJ,589904,https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz,2019-01-01,Brazil
8,Jenifer,Gabriel Diniz,559248,https://open.spotify.com/track/5ixqGGFu0hdHfErdp32QwT,2019-01-01,Brazil
9,Não Fala Não pra Mim,Humberto & Ronaldo,549240,https://open.spotify.com/track/0PaAB17axL9hn88mHiw8g0,2019-01-01,Brazil
10,Medley da Gaiola - Dennis DJ Remix,MC Kevin o Chris,521070,https://open.spotify.com/track/7rLegaz7zKB6EtDNzcslKE,2019-01-01,Brazil
11,"Quem Pegou, Pegou - Ao Vivo",Henrique & Juliano,514060,https://open.spotify.com/track/0kCqaybZgYcLYxzZymmBoc,2019-01-01,Brazil
12,Largado Às Traças - Ao Vivo,Zé Neto & Cristiano,509246,https://open.spotify.com/track/1IJH7QjV5V99eJBtKXqGXE,2019-01-01,Brazil
13,O Bebê,MC Kevinho,441291,https://open.spotify.com/track/51HrDv54pSe1IqynORNXBd,2019-01-01,Brazil
14,Só Você,Dennis DJ,436616,https://open.spotify.com/track/4xc6RrWzEOdprPqYn9Cyen,2019-01-01,Brazil
15,Saudade Nível Hard,Yasmin Santos,402305,https://open.spotify.com/track/2dmGj5Nf01FcR6N4HPzAbL,2019-01-01,Brazil
16,Hoje Eu Vou Parar Na Gaiola,Mc Livinho,394588,https://open.spotify.com/track/0IQCOAw9ZAI6WnXIrl481F,2019-01-01,Brazil
17,Propaganda - Ao Vivo,Jorge & Mateus,390355,https://open.spotify.com/track/74n5d5M21JnC4WJ6gdkggK,2019-01-01,Brazil
18,Traí Sim - Ao Vivo,Maiara & Maraisa,384684,https://open.spotify.com/track/3o67Yt3Ua1qlSNV22zWUAn,2019-01-01,Brazil
19,Vingança - Ao Vivo,Luan Santana,377362,https://open.spotify.com/track/7KdcbYcVF8LkQeQcTYOixJ,2019-01-01,Brazil
20,Sofazinho - Ao Vivo,Luan Santana,376564,https://open.spotify.com/track/2PMLdLt5QeOuOgxfAvx1in,2019-01-01,Brazil
1,Atrasadinha - Ao Vivo,Felipe Araújo,601050,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb,2019-01-02,Brazil
2,Parado no Bailão,MC L da Vinte,490141,https://open.spotify.com/track/3Hb9kUdm4yf839Fle4RIdT,2019-01-02,Brazil
3,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,487034,https://open.spotify.com/track/2qkNnJvQvhLiZ63X1L3eFz,2019-01-02,Brazil
4,Agora é Tudo Meu,Dennis DJ,464310,https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz,2019-01-02,Brazil
5,Ciumeira - Ao Vivo,Marília Mendonça,459071,https://open.spotify.com/track/2H1liABu20HXBOmbt5SQz1,2019-01-02,Brazil
6,Quem Me Dera,Márcia Fellipe,430526,https://open.spotify.com/track/2lAyctg5FocS67eksHoyIg,2019-01-02,Brazil
7,Só Pra Castigar,Wesley Safadão,415629,https://open.spotify.com/track/2X8sssaxS5GReg6945B6RW,2019-01-02,Brazil
8,Jenifer,Gabriel Diniz,391426,https://open.spotify.com/track/5ixqGGFu0hdHfErdp32QwT,2019-01-02,Brazil
