Position,Track Name,Artist,Streams,URL,date,region
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,225280,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,1/1/19,Canada
2,Wow.,Post Malone,210638,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,1/1/19,Canada
3,SICKO MODE,Travis Scott,196378,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,1/1/19,Canada
4,"thank u, next",Ariana Grande,195971,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1/1/19,Canada
5,Going Bad (feat. Drake),Meek Mill,157739,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,1/1/19,Canada
6,ZEZE,Kodak Black,142000,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,1/1/19,Canada
7,Mo Bamba,Sheck Wes,133092,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,1/1/19,Canada
8,Without Me,Halsey,123241,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,1/1/19,Canada
9,Happier,Marshmello,122434,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,1/1/19,Canada
10,Eastside (with Halsey & Khalid),benny blanco,118666,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,1/1/19,Canada
11,I Like It,Cardi B,114700,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,1/1/19,Canada
12,God's Plan,Drake,112674,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,1/1/19,Canada
13,Drip Too Hard (Lil Baby & Gunna),Lil Baby,110247,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,1/1/19,Canada
14,MIA (feat. Drake),Bad Bunny,109852,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,1/1/19,Canada
15,Lucid Dreams,Juice WRLD,105942,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,1/1/19,Canada
16,rockstar (feat. 21 Savage),Post Malone,104074,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,1/1/19,Canada
17,Better Now,Post Malone,99194,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,1/1/19,Canada
18,Girls Like You (feat. Cardi B),Maroon 5,98080,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,1/1/19,Canada
19,Sweet but Psycho,Ava Max,90200,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,1/1/19,Canada
20,High Hopes,Panic! At The Disco,89657,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,1/1/19,Canada
1,Wow.,Post Malone,229555,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,1/2/19,Canada
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,205370,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,1/2/19,Canada
3,Going Bad (feat. Drake),Meek Mill,158156,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,1/2/19,Canada
4,"thank u, next",Ariana Grande,156027,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1/2/19,Canada
5,SICKO MODE,Travis Scott,146569,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,1/2/19,Canada
6,Without Me,Halsey,142098,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,1/2/19,Canada
7,ZEZE,Kodak Black,130304,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,1/2/19,Canada
8,Mo Bamba,Sheck Wes,106865,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,1/2/19,Canada
9,Drip Too Hard (Lil Baby & Gunna),Lil Baby,102174,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,1/2/19,Canada
10,Happier,Marshmello,99898,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,1/2/19,Canada
11,High Hopes,Panic! At The Disco,99137,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,1/2/19,Canada
12,Eastside (with Halsey & Khalid),benny blanco,90501,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,1/2/19,Canada
13,Look Back at It,A Boogie Wit da Hoodie,89265,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,1/2/19,Canada
14,Better Now,Post Malone,87925,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,1/2/19,Canada
15,Saturday Nights,Khalid,87696,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,1/2/19,Canada
16,Better,Khalid,86964,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,1/2/19,Canada
17,Lucid Dreams,Juice WRLD,83263,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,1/2/19,Canada
18,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,82804,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,1/2/19,Canada
19,imagine,Ariana Grande,82103,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,1/2/19,Canada
20,Leave Me Alone,Flipp Dinero,81985,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,1/2/19,Canada
1,Wow.,Post Malone,238557,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,1/3/19,Canada
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,206335,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,1/3/19,Canada
3,Going Bad (feat. Drake),Meek Mill,167247,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,1/3/19,Canada
4,"thank u, next",Ariana Grande,158539,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1/3/19,Canada
5,SICKO MODE,Travis Scott,152571,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,1/3/19,Canada
6,Without Me,Halsey,143111,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,1/3/19,Canada
7,ZEZE,Kodak Black,139125,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,1/3/19,Canada
8,Mo Bamba,Sheck Wes,114407,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,1/3/19,Canada
9,Drip Too Hard (Lil Baby & Gunna),Lil Baby,108821,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,1/3/19,Canada
10,Happier,Marshmello,104387,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,1/3/19,Canada
11,High Hopes,Panic! At The Disco,101810,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,1/3/19,Canada
12,Eastside (with Halsey & Khalid),benny blanco,94988,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,1/3/19,Canada
13,Look Back at It,A Boogie Wit da Hoodie,92214,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,1/3/19,Canada
14,Better,Khalid,91125,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,1/3/19,Canada
15,Better Now,Post Malone,90451,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,1/3/19,Canada
16,Leave Me Alone,Flipp Dinero,87331,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,1/3/19,Canada
17,Saturday Nights,Khalid,87132,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,1/3/19,Canada
18,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,86325,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,1/3/19,Canada
19,monster,21 Savage,84574,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,1/3/19,Canada
20,Lucid Dreams,Juice WRLD,84553,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,1/3/19,Canada
1,Wow.,Post Malone,245497,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,1/4/19,Canada
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,212987,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,1/4/19,Canada
3,Going Bad (feat. Drake),Meek Mill,170284,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,1/4/19,Canada
4,"thank u, next",Ariana Grande,164859,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1/4/19,Canada
5,SICKO MODE,Travis Scott,156411,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,1/4/19,Canada
6,Without Me,Halsey,150986,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,1/4/19,Canada
7,ZEZE,Kodak Black,142646,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,1/4/19,Canada
8,Mo Bamba,Sheck Wes,117874,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,1/4/19,Canada
9,Drip Too Hard (Lil Baby & Gunna),Lil Baby,114432,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,1/4/19,Canada
10,High Hopes,Panic! At The Disco,111809,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,1/4/19,Canada
11,Happier,Marshmello,108562,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,1/4/19,Canada
12,Eastside (with Halsey & Khalid),benny blanco,99308,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,1/4/19,Canada
13,Better,Khalid,97826,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,1/4/19,Canada
14,Look Back at It,A Boogie Wit da Hoodie,96096,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,1/4/19,Canada
15,Better Now,Post Malone,92310,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,1/4/19,Canada
16,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,90264,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,1/4/19,Canada
17,Leave Me Alone,Flipp Dinero,89780,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,1/4/19,Canada
18,Saturday Nights,Khalid,88681,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,1/4/19,Canada
19,monster,21 Savage,87783,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,1/4/19,Canada
20,Lucid Dreams,Juice WRLD,85941,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,1/4/19,Canada
1,Wow.,Post Malone,237934,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,1/5/19,Canada
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,208367,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,1/5/19,Canada
3,Going Bad (feat. Drake),Meek Mill,169169,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,1/5/19,Canada
4,SICKO MODE,Travis Scott,156813,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,1/5/19,Canada
5,"thank u, next",Ariana Grande,155634,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,1/5/19,Canada
