Position,Track Name,Artist,Streams,URL,date,region
1,Adan y Eva,Paulo Londra,284493,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-01,Spain
2,MALA,6ix9ine,218829,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,2019-01-01,Spain
3,Adictiva,Daddy Yankee,202504,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-01,Spain
4,MIA (feat. Drake),Bad Bunny,187984,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,Spain
5,Ella Quiere Beber - Remix,Anuel AA,174778,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-01,Spain
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,170698,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Spain
7,Booty,C. Tangana,169766,https://open.spotify.com/track/4W3FJapn5CD6Fnrlfj4HFe,2019-01-01,Spain
8,NI BIEN NI MAL,Bad Bunny,156397,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019-01-01,Spain
9,Imposible,Luis Fonsi,147659,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-01,Spain
10,Vas A Quedarte,Aitana,146206,https://open.spotify.com/track/2b3JxLi8KAiOsD8ehnOxDZ,2019-01-01,Spain
11,Amanece,Anuel AA,141624,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-01,Spain
12,Vaina Loca,Ozuna,137770,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-01,Spain
13,Solo de Mi,Bad Bunny,137720,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-01,Spain
14,Calma - Remix,Pedro Capó,133955,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,Spain
15,Bubalu,Becky G,125678,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-01,Spain
16,MALAMENTE - Cap.1: Augurio,ROSALÍA,125613,https://open.spotify.com/track/1B0BQaSRHxhI0AUlItY3LK,2019-01-01,Spain
17,Está Rico,Marc Anthony,122574,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg,2019-01-01,Spain
18,Replay,Maikel Delacalle,111582,https://open.spotify.com/track/07w6jp4Fq8GGqhLoDYoVkb,2019-01-01,Spain
19,Ibiza,Ozuna,110132,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,2019-01-01,Spain
20,BEBE,6ix9ine,104485,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-01,Spain
1,Adan y Eva,Paulo Londra,368238,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-02,Spain
2,MALA,6ix9ine,273748,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,2019-01-02,Spain
3,Adictiva,Daddy Yankee,263784,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-02,Spain
4,MIA (feat. Drake),Bad Bunny,241472,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-02,Spain
5,Vas A Quedarte,Aitana,228683,https://open.spotify.com/track/2b3JxLi8KAiOsD8ehnOxDZ,2019-01-02,Spain
6,NI BIEN NI MAL,Bad Bunny,223962,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019-01-02,Spain
7,Ella Quiere Beber - Remix,Anuel AA,214093,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-02,Spain
8,Booty,C. Tangana,213074,https://open.spotify.com/track/4W3FJapn5CD6Fnrlfj4HFe,2019-01-02,Spain
9,Amanece,Anuel AA,200200,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-02,Spain
10,Imposible,Luis Fonsi,198280,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-02,Spain
11,Solo de Mi,Bad Bunny,192447,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-02,Spain
12,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,190934,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,Spain
13,Calma - Remix,Pedro Capó,186207,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-02,Spain
14,Bubalu,Becky G,173070,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-02,Spain
15,Vaina Loca,Ozuna,160388,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-02,Spain
16,Replay,Maikel Delacalle,153073,https://open.spotify.com/track/07w6jp4Fq8GGqhLoDYoVkb,2019-01-02,Spain
17,Está Rico,Marc Anthony,152779,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg,2019-01-02,Spain
18,Mujer Bruja,Lola Indigo,150609,https://open.spotify.com/track/4R8TsvDoKSSDVERlaphNBA,2019-01-02,Spain
19,MALAMENTE - Cap.1: Augurio,ROSALÍA,146178,https://open.spotify.com/track/1B0BQaSRHxhI0AUlItY3LK,2019-01-02,Spain
20,Ibiza,Ozuna,144186,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,2019-01-02,Spain
1,Adan y Eva,Paulo Londra,339207,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-03,Spain
2,MALA,6ix9ine,264141,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,2019-01-03,Spain
3,Adictiva,Daddy Yankee,261230,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-03,Spain
4,Vas A Quedarte,Aitana,229845,https://open.spotify.com/track/2b3JxLi8KAiOsD8ehnOxDZ,2019-01-03,Spain
5,NI BIEN NI MAL,Bad Bunny,226744,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019-01-03,Spain
6,MIA (feat. Drake),Bad Bunny,221564,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-03,Spain
7,Ella Quiere Beber - Remix,Anuel AA,204835,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-03,Spain
8,Booty,C. Tangana,200705,https://open.spotify.com/track/4W3FJapn5CD6Fnrlfj4HFe,2019-01-03,Spain
9,Imposible,Luis Fonsi,200575,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-03,Spain
10,Amanece,Anuel AA,196408,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-03,Spain
11,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,192279,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-03,Spain
