Position,Track Name,Artist,Streams,URL,date,region
1,Calma - Remix,Pedro Capó,22906,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,Guatemala
2,Adan y Eva,Paulo Londra,18163,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-01,Guatemala
3,MIA (feat. Drake),Bad Bunny,16265,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,Guatemala
4,Ella Quiere Beber - Remix,Anuel AA,15634,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-01,Guatemala
5,Desconocidos,Mau y Ricky,15424,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-01,Guatemala
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,14394,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Guatemala
7,Vaina Loca,Ozuna,12134,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-01,Guatemala
8,Nunca Es Suficiente,Los Angeles Azules,11667,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg,2019-01-01,Guatemala
9,Cuando Te Besé,Becky G,10716,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-01,Guatemala
10,Adictiva,Daddy Yankee,9922,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-01,Guatemala
11,Bubalu,Becky G,9656,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-01,Guatemala
12,Solo de Mi,Bad Bunny,9509,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-01,Guatemala
13,Reggaeton,J Balvin,8386,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-01,Guatemala
14,Créeme,KAROL G,8283,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019-01-01,Guatemala
15,A Través Del Vaso,Grupo Arranke,8172,https://open.spotify.com/track/0oCSitNlzsQfuIapF9tXRQ,2019-01-01,Guatemala
16,Ya No Tiene Novio,Sebastian Yatra,7985,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-01,Guatemala
17,La player (Bandolera),Zion & Lennox,7774,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP,2019-01-01,Guatemala
