Position,Track Name,Artist,Streams,URL,date,region
1,SOLO,JENNIE,138948,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-01,Indonesia
2,"thank u, next",Ariana Grande,133528,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,Indonesia
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,90161,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Indonesia
4,Selow,Wahyu Selow,74766,https://open.spotify.com/track/1c5ZiOfMbDBHKRNuMfinOb,2019-01-01,Indonesia
5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,73735,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,Indonesia
6,Kiss and Make Up,Dua Lipa,69791,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019-01-01,Indonesia
7,Girls Like You (feat. Cardi B),Maroon 5,64114,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019-01-01,Indonesia
8,Without Me,Halsey,61216,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-01,Indonesia
9,2002,Anne-Marie,61159,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019-01-01,Indonesia
10,Love Someone,Lukas Graham,61066,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-01,Indonesia
11,DDU-DU DDU-DU - KR Ver.,BLACKPINK,59886,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu,2019-01-01,Indonesia
12,Berpisah Itu Mudah,Rizky Febian,57714,https://open.spotify.com/track/52AWJPKuELTY9TjwHzXuhl,2019-01-01,Indonesia
13,Kemarin,Seventeen,56841,https://open.spotify.com/track/2dr6ZMyjUfzjAzDZJsRKtE,2019-01-01,Indonesia
14,Jangan,Marion Jola,55131,https://open.spotify.com/track/0hXshgMyFiHVNlnSzMikGn,2019-01-01,Indonesia
15,Happier,Marshmello,53688,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-01,Indonesia
16,Love Shot,EXO,52685,https://open.spotify.com/track/33NAYATbWRoo5RuEP30JBZ,2019-01-01,Indonesia
17,Best Part (feat. Daniel Caesar),H.E.R.,52406,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019-01-01,Indonesia
18,Tentang Rindu,Virzha,51540,https://open.spotify.com/track/5bG0Nj8pt4fM8LTG9PiWmu,2019-01-01,Indonesia
19,"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")",Fourtwnty,50852,https://open.spotify.com/track/4lfAvFv8roumWVKXhHF8uN,2019-01-01,Indonesia
20,Happy Now,Zedd,49152,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa,2019-01-01,Indonesia
1,"thank u, next",Ariana Grande,160250,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-02,Indonesia
2,SOLO,JENNIE,154891,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-02,Indonesia
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,107221,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,Indonesia
4,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,92349,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-02,Indonesia
5,Selow,Wahyu Selow,90446,https://open.spotify.com/track/1c5ZiOfMbDBHKRNuMfinOb,2019-01-02,Indonesia
6,Kiss and Make Up,Dua Lipa,84931,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019-01-02,Indonesia
