Position,Track Name,Artist,Streams,URL,date,region
1,Calma - Remix,Pedro Capó,737894,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,Iceland
2,Adan y Eva,Paulo Londra,415066,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-01,Iceland
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,409061,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Iceland
4,MIA (feat. Drake),Bad Bunny,377855,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,Iceland
5,A Través Del Vaso,Grupo Arranke,346975,https://open.spotify.com/track/0oCSitNlzsQfuIapF9tXRQ,2019-01-01,Iceland
6,Ella Quiere Beber - Remix,Anuel AA,325495,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-01,Iceland
7,Baby Girl (feat. Lalo Ebratt),Mario Bautista,317654,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc,2019-01-01,Iceland
8,No Te Contaron Mal,Christian Nodal,306857,https://open.spotify.com/track/1LO951RWD10l9Vys0NrFty,2019-01-01,Iceland
9,Nunca Es Suficiente,Los Angeles Azules,300365,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg,2019-01-01,Iceland
10,Amigos Con Derechos,Reik,285842,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019-01-01,Iceland
11,Desconocidos,Mau y Ricky,271904,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-01,Iceland
12,Vaina Loca,Ozuna,261369,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-01,Iceland
13,Ahora Te Puedes Marchar,Luis Miguel,246682,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E,2019-01-01,Iceland
14,Ya No Tiene Novio,Sebastian Yatra,241583,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-01,Iceland
15,El Listón De Tu Pelo,Los Angeles Azules,213762,https://open.spotify.com/track/5hrxAFrYbNTLjAYSrmbpgr,2019-01-01,Iceland
16,En Peligro de Extinción,La Adictiva Banda San José de Mesillas,212055,https://open.spotify.com/track/45sVRPegWSGpIcsrDoaaCY,2019-01-01,Iceland
17,BEBE,6ix9ine,208872,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-01,Iceland
18,Aerolínea Carrillo,T3R Elemento,207164,https://open.spotify.com/track/0xYTyyfV767E2Vn3hz56kL,2019-01-01,Iceland
19,Cómo Te Voy A Olvidar,Los Angeles Azules,205161,https://open.spotify.com/track/51dNexiESqcJLsGLrmg1Nv,2019-01-01,Iceland
20,In My Mind,Dynoro,204564,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-01,Iceland
1,Calma - Remix,Pedro Capó,608342,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-02,Iceland
2,Adan y Eva,Paulo Londra,391866,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-02,Iceland
3,MIA (feat. Drake),Bad Bunny,332189,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-02,Iceland
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,321895,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,Iceland
5,Ella Quiere Beber - Remix,Anuel AA,296024,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-02,Iceland
6,Baby Girl (feat. Lalo Ebratt),Mario Bautista,268954,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc,2019-01-02,Iceland
7,Desconocidos,Mau y Ricky,261915,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-02,Iceland
8,A Través Del Vaso,Grupo Arranke,224008,https://open.spotify.com/track/0oCSitNlzsQfuIapF9tXRQ,2019-01-02,Iceland
9,Amigos Con Derechos,Reik,223759,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019-01-02,Iceland
10,No Te Contaron Mal,Christian Nodal,223622,https://open.spotify.com/track/1LO951RWD10l9Vys0NrFty,2019-01-02,Iceland
11,Vaina Loca,Ozuna,217210,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-02,Iceland
12,Ya No Tiene Novio,Sebastian Yatra,191222,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-02,Iceland
13,"thank u, next",Ariana Grande,191205,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-02,Iceland
14,BEBE,6ix9ine,187802,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-02,Iceland
15,In My Mind,Dynoro,187666,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-02,Iceland
16,Cuando Te Besé,Becky G,184993,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-02,Iceland
17,Puntos Suspensivos,Piso 21,176272,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-02,Iceland
18,Bohemian Rhapsody - 2011 Mix,Queen,167601,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019-01-02,Iceland
19,Adictiva,Daddy Yankee,164765,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-02,Iceland
20,Imposible,Luis Fonsi,163294,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-02,Iceland
1,Calma - Remix,Pedro Capó,655971,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-03,Iceland
2,Adan y Eva,Paulo Londra,433133,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-03,Iceland
3,MIA (feat. Drake),Bad Bunny,364022,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-03,Iceland
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,348801,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-03,Iceland
5,Ella Quiere Beber - Remix,Anuel AA,329703,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-03,Iceland
6,Baby Girl (feat. Lalo Ebratt),Mario Bautista,296603,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc,2019-01-03,Iceland
7,Desconocidos,Mau y Ricky,294347,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-03,Iceland
8,Amigos Con Derechos,Reik,247483,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019-01-03,Iceland
9,Vaina Loca,Ozuna,239723,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-03,Iceland
10,No Te Contaron Mal,Christian Nodal,235738,https://open.spotify.com/track/1LO951RWD10l9Vys0NrFty,2019-01-03,Iceland
11,A Través Del Vaso,Grupo Arranke,231720,https://open.spotify.com/track/0oCSitNlzsQfuIapF9tXRQ,2019-01-03,Iceland
12,Ya No Tiene Novio,Sebastian Yatra,212660,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-03,Iceland
13,"thank u, next",Ariana Grande,207175,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-03,Iceland
14,Cuando Te Besé,Becky G,207015,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-03,Iceland
15,BEBE,6ix9ine,206355,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-03,Iceland
16,In My Mind,Dynoro,202070,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-03,Iceland
17,Puntos Suspensivos,Piso 21,200748,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-03,Iceland
18,Imposible,Luis Fonsi,185253,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-03,Iceland
19,Adictiva,Daddy Yankee,184425,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-03,Iceland
20,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,179075,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-03,Iceland
1,Calma - Remix,Pedro Capó,682295,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-04,Iceland
2,Adan y Eva,Paulo Londra,448468,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-04,Iceland
3,MIA (feat. Drake),Bad Bunny,379696,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-04,Iceland
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,360199,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-04,Iceland
5,Ella Quiere Beber - Remix,Anuel AA,344257,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-04,Iceland
6,Desconocidos,Mau y Ricky,312824,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-04,Iceland
7,Baby Girl (feat. Lalo Ebratt),Mario Bautista,310702,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc,2019-01-04,Iceland
8,Amigos Con Derechos,Reik,261649,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019-01-04,Iceland
9,No Te Contaron Mal,Christian Nodal,249086,https://open.spotify.com/track/1LO951RWD10l9Vys0NrFty,2019-01-04,Iceland
10,Vaina Loca,Ozuna,245803,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-04,Iceland
11,A Través Del Vaso,Grupo Arranke,242293,https://open.spotify.com/track/0oCSitNlzsQfuIapF9tXRQ,2019-01-04,Iceland
12,Ya No Tiene Novio,Sebastian Yatra,222587,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-04,Iceland
13,BEBE,6ix9ine,216876,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-04,Iceland
14,Cuando Te Besé,Becky G,215739,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-04,Iceland
15,"thank u, next",Ariana Grande,214091,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-04,Iceland
16,Puntos Suspensivos,Piso 21,213309,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-04,Iceland
17,In My Mind,Dynoro,211735,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-04,Iceland
18,Imposible,Luis Fonsi,196042,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-04,Iceland
19,Adictiva,Daddy Yankee,191838,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-04,Iceland
