Position,Track Name,Artist,Streams,URL,date,region
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,47901,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,Malaysia
2,"thank u, next",Ariana Grande,41955,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,Malaysia
3,Without Me,Halsey,33543,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-01,Malaysia
4,SOLO,JENNIE,32967,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-01,Malaysia
5,Be Alright,Dean Lewis,26867,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-01,Malaysia
6,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,26731,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-01,Malaysia
7,Love Someone,Lukas Graham,22871,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-01,Malaysia
8,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,22319,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Malaysia
9,Beautiful (feat. Camila Cabello),Bazzi,22137,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-01,Malaysia
10,Kiss and Make Up,Dua Lipa,21374,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019-01-01,Malaysia
11,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,20372,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-01-01,Malaysia
12,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,19903,https://open.spotify.com/track/3ayrHkyorPEpeOBvZ76SwG,2019-01-01,Malaysia
13,Wow.,Post Malone,19226,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-01,Malaysia
14,Better,Khalid,18975,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-01-01,Malaysia
15,Eastside (with Halsey & Khalid),benny blanco,18636,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-01-01,Malaysia
16,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,18566,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019-01-01,Malaysia
17,Happier,Marshmello,17448,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-01,Malaysia
18,imagine,Ariana Grande,17282,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019-01-01,Malaysia
19,Saturday Nights,Khalid,16787,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-01-01,Malaysia
20,8 Letters,Why Don't We,16310,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt,2019-01-01,Malaysia
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,52664,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-02,Malaysia
2,"thank u, next",Ariana Grande,44786,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-02,Malaysia
3,Without Me,Halsey,37937,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-02,Malaysia
4,SOLO,JENNIE,35229,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-02,Malaysia
5,Be Alright,Dean Lewis,30745,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-02,Malaysia
6,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,30247,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-02,Malaysia
7,Love Someone,Lukas Graham,26744,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-02,Malaysia
8,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,25025,https://open.spotify.com/track/3ayrHkyorPEpeOBvZ76SwG,2019-01-02,Malaysia
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,24498,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,Malaysia
10,Kiss and Make Up,Dua Lipa,24288,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019-01-02,Malaysia
11,Beautiful (feat. Camila Cabello),Bazzi,24209,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-02,Malaysia
12,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,23710,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-01-02,Malaysia
13,Wow.,Post Malone,22039,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-02,Malaysia
14,Better,Khalid,21387,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-01-02,Malaysia
15,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,21178,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019-01-02,Malaysia
16,Eastside (with Halsey & Khalid),benny blanco,20872,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-01-02,Malaysia
17,Saturday Nights,Khalid,19660,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-01-02,Malaysia
18,imagine,Ariana Grande,19250,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019-01-02,Malaysia
19,Happier,Marshmello,19157,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-02,Malaysia
20,8 Letters,Why Don't We,17695,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt,2019-01-02,Malaysia
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,51047,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-03,Malaysia
2,"thank u, next",Ariana Grande,43634,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-03,Malaysia
3,Without Me,Halsey,36080,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-03,Malaysia
4,SOLO,JENNIE,33567,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-03,Malaysia
5,Be Alright,Dean Lewis,30269,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-03,Malaysia
6,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,29956,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-03,Malaysia
7,Love Someone,Lukas Graham,25946,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-03,Malaysia
8,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,23612,https://open.spotify.com/track/3ayrHkyorPEpeOBvZ76SwG,2019-01-03,Malaysia
9,Beautiful (feat. Camila Cabello),Bazzi,23522,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-03,Malaysia
10,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,23232,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-01-03,Malaysia
11,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,23084,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-03,Malaysia
12,Kiss and Make Up,Dua Lipa,22885,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019-01-03,Malaysia
13,Wow.,Post Malone,22881,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-03,Malaysia
14,Better,Khalid,20452,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019-01-03,Malaysia
15,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,20149,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019-01-03,Malaysia
16,Eastside (with Halsey & Khalid),benny blanco,20120,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019-01-03,Malaysia
17,Saturday Nights,Khalid,19986,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019-01-03,Malaysia
18,imagine,Ariana Grande,19504,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019-01-03,Malaysia
19,Happier,Marshmello,18822,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-03,Malaysia
20,You Are The Reason,Calum Scott,17528,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B,2019-01-03,Malaysia
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,51973,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-04,Malaysia
2,"thank u, next",Ariana Grande,45386,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-04,Malaysia
3,Without Me,Halsey,36868,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-04,Malaysia
4,SOLO,JENNIE,34633,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2019-01-04,Malaysia
5,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey,31794,https://open.spotify.com/track/1SO5RyYJZUAI0aHkAkrF2p,2019-01-04,Malaysia
6,Be Alright,Dean Lewis,29459,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-04,Malaysia
7,Love Someone,Lukas Graham,25590,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-04,Malaysia
8,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,24740,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-04,Malaysia
9,Beautiful (feat. Camila Cabello),Bazzi,24364,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019-01-04,Malaysia
10,Wow.,Post Malone,24286,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-04,Malaysia
11,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,23248,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019-01-04,Malaysia
12,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,22796,https://open.spotify.com/track/3ayrHkyorPEpeOBvZ76SwG,2019-01-04,Malaysia
