Position,Track Name,Artist,Streams,URL,date,region
1,Duurt Te Lang,Davina Michelle,168373,https://open.spotify.com/track/2rzZ0IGxgrGUAPwrWn80z7,2019-01-01,Netherlands
2,HUTS,The Blockparty,147202,https://open.spotify.com/track/0UMaqPntFC8dFOc7p3Iefj,2019-01-01,Netherlands
3,Hij Is Van Mij (feat. Bizzey),Kris Kross Amsterdam,130985,https://open.spotify.com/track/6716bTJI7qiHJFFSR0Ethe,2019-01-01,Netherlands
4,Sweet but Psycho,Ava Max,110250,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-01,Netherlands
5,Verleden Tijd,Frenna,100583,https://open.spotify.com/track/7qkqUFKET2tAjVHLxlLYOe,2019-01-01,Netherlands
6,Louboutin,Frenna,96848,https://open.spotify.com/track/1nYj5Hv2ON80QokibDMvOE,2019-01-01,Netherlands
7,"thank u, next",Ariana Grande,91649,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,Netherlands
8,Terug Naar Toen (feat. Lijpe),Boef,88791,https://open.spotify.com/track/3ELaEOpbAaXnahwApLkUvR,2019-01-01,Netherlands
9,High Hopes,Panic! At The Disco,83649,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-01,Netherlands
10,Culo,Bizzey,77172,https://open.spotify.com/track/442ctQ3OBBk8aMo3Ma3wRX,2019-01-01,Netherlands
11,"SVP (feat. JoeyAK, Young Ellens & Sevn Alias)",Boef,76676,https://open.spotify.com/track/036HGg6Bs7n15m99zcnPwZ,2019-01-01,Netherlands
12,Be Alright,Dean Lewis,67075,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-01,Netherlands
13,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,66392,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Netherlands
14,Promises (with Sam Smith),Calvin Harris,65191,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-01-01,Netherlands
15,Alleen Door Jou,Famke Louise,63364,https://open.spotify.com/track/4tcdEtudRV8K5xSE219QBl,2019-01-01,Netherlands
16,Freak In The Weekend,Frenna,63202,https://open.spotify.com/track/19CB086TjdU7dRi3JN9SzY,2019-01-01,Netherlands
17,fallin',Idaly,62630,https://open.spotify.com/track/1SveOxUxAxhrCWBhdfbjQu,2019-01-01,Netherlands
