Position,Track Name,Artist,Streams,URL,date,region
1,Sweet but Psycho,Ava Max,69663,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-01,Norway
2,Wow.,Post Malone,67916,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-01,Norway
3,Lost Control,Alan Walker,56131,https://open.spotify.com/track/0lG6QM1jjbbX5UUn3DPmrZ,2019-01-01,Norway
4,Shallow,Lady Gaga,53922,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-01,Norway
5,Diamond Heart,Alan Walker,53118,https://open.spotify.com/track/0nrWZWkJM62ftQJSI8fDc0,2019-01-01,Norway
6,"thank u, next",Ariana Grande,52762,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,Norway
7,Be Alright,Dean Lewis,49520,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-01,Norway
8,Without Me,Halsey,45791,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-01,Norway
9,when the party's over,Billie Eilish,44671,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-01-01,Norway
10,Happy Now,Kygo,43293,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,2019-01-01,Norway
11,Let Me Down Slowly,Alec Benjamin,41156,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d,2019-01-01,Norway
12,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,39771,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,Norway
13,Love Someone,Lukas Graham,36907,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-01,Norway
14,Emotion,Astrid S,33100,https://open.spotify.com/track/09rj7jigutgAkveJGpSDBT,2019-01-01,Norway
15,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,32660,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019-01-01,Norway
16,Lay By Me,Ruben,31414,https://open.spotify.com/track/4l6boTiX3Erh3HYpKOa0D6,2019-01-01,Norway
17,Juletragedien,Erik Follestad,31321,https://open.spotify.com/track/4hS14RwcNzMrO9QZ76mVII,2019-01-01,Norway
