Position,Track Name,Artist,Streams,URL,date,region
1,Adan y Eva,Paulo Londra,117890,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-01,Peru
2,MIA (feat. Drake),Bad Bunny,88547,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,Peru
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,86820,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Peru
4,Ella Quiere Beber - Remix,Anuel AA,86177,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-01,Peru
5,Calma - Remix,Pedro Capó,82465,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,Peru
6,Desconocidos,Mau y Ricky,77090,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-01,Peru
7,Bubalu,Becky G,73600,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-01,Peru
8,Adictiva,Daddy Yankee,73483,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-01,Peru
9,Cuando Te Besé,Becky G,71389,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-01,Peru
10,Reggaeton,J Balvin,63397,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-01,Peru
11,Vaina Loca,Ozuna,63098,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-01,Peru
12,Culpables,KAROL G,59062,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019-01-01,Peru
13,Amanece,Anuel AA,57395,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-01,Peru
14,Créeme,KAROL G,53674,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019-01-01,Peru
15,Ya No Tiene Novio,Sebastian Yatra,52510,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-01,Peru
16,Adiós Amor,Daniela Darcourt,51512,https://open.spotify.com/track/2ozv99MuHIaE4DZIzAr59q,2019-01-01,Peru
17,Amigos Con Derechos,Reik,50919,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019-01-01,Peru
18,BEBE,6ix9ine,50021,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-01,Peru
19,Imposible,Luis Fonsi,49971,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-01,Peru
20,Mala Mía,Maluma,46316,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,2019-01-01,Peru
1,Adan y Eva,Paulo Londra,119651,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-02,Peru
2,Calma - Remix,Pedro Capó,91347,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-02,Peru
3,MIA (feat. Drake),Bad Bunny,88923,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-02,Peru
4,Ella Quiere Beber - Remix,Anuel AA,86815,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-02,Peru
5,Desconocidos,Mau y Ricky,86301,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-02,Peru
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,79596,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,Peru
7,Bubalu,Becky G,78679,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-02,Peru
8,Adictiva,Daddy Yankee,76616,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-02,Peru
9,Cuando Te Besé,Becky G,75861,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-02,Peru
10,Vaina Loca,Ozuna,66256,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-02,Peru
11,Amanece,Anuel AA,64513,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-02,Peru
12,Créeme,KAROL G,63817,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019-01-02,Peru
13,Reggaeton,J Balvin,63624,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-02,Peru
14,Culpables,KAROL G,63417,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019-01-02,Peru
15,Amigos Con Derechos,Reik,58156,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019-01-02,Peru
16,Ya No Tiene Novio,Sebastian Yatra,56538,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-02,Peru
17,Imposible,Luis Fonsi,55759,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-02,Peru
18,Adiós Amor,Daniela Darcourt,49077,https://open.spotify.com/track/2ozv99MuHIaE4DZIzAr59q,2019-01-02,Peru
19,BEBE,6ix9ine,49045,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-02,Peru
20,Mala Mía,Maluma,48508,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,2019-01-02,Peru
1,Adan y Eva,Paulo Londra,125262,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-03,Peru
2,Calma - Remix,Pedro Capó,99958,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-03,Peru
3,MIA (feat. Drake),Bad Bunny,93262,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-03,Peru
4,Desconocidos,Mau y Ricky,91748,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-03,Peru
5,Ella Quiere Beber - Remix,Anuel AA,91603,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-03,Peru
6,Bubalu,Becky G,83322,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-03,Peru
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,82853,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-03,Peru
8,Adictiva,Daddy Yankee,81506,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-03,Peru
9,Cuando Te Besé,Becky G,79185,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-03,Peru
10,Amanece,Anuel AA,70596,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-03,Peru
11,Vaina Loca,Ozuna,68892,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-03,Peru
12,Créeme,KAROL G,68191,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019-01-03,Peru
13,Reggaeton,J Balvin,67909,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-03,Peru
14,Culpables,KAROL G,67397,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019-01-03,Peru
15,Amigos Con Derechos,Reik,61496,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019-01-03,Peru
16,Imposible,Luis Fonsi,59548,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-03,Peru
17,Ya No Tiene Novio,Sebastian Yatra,59071,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019-01-03,Peru
18,BEBE,6ix9ine,51882,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-03,Peru
19,Adiós Amor,Daniela Darcourt,51699,https://open.spotify.com/track/2ozv99MuHIaE4DZIzAr59q,2019-01-03,Peru
20,Mala Mía,Maluma,50987,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,2019-01-03,Peru
