Position,Track Name,Artist,Streams,URL,date,region
1,Shallow,Lady Gaga,107539,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-01,Sweden
2,Wow.,Post Malone,89449,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-01,Sweden
3,Sweet but Psycho,Ava Max,77692,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019-01-01,Sweden
4,Be Alright,Dean Lewis,66542,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019-01-01,Sweden
5,"thank u, next",Ariana Grande,65000,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,Sweden
6,Love Someone,Lukas Graham,62822,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019-01-01,Sweden
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,62296,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,Sweden
8,Without You (feat. Sandro Cavazza),Avicii,58636,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL,2019-01-01,Sweden
9,Happy Now,Kygo,56589,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,2019-01-01,Sweden
10,Forgive Me Friend,Smith & Thell,56545,https://open.spotify.com/track/7mJKfgBVhd5lB3jweVwVQS,2019-01-01,Sweden
11,when the party's over,Billie Eilish,56208,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019-01-01,Sweden
12,Tappat,Victor Leksell,50429,https://open.spotify.com/track/2jPCvYRyIXQf2if8CTyabC,2019-01-01,Sweden
13,Sverige Vet,Z.E,49951,https://open.spotify.com/track/3ZHnfKXAjulpLqKJfT7DEC,2019-01-01,Sweden
14,Ruin My Life,Zara Larsson,48574,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019-01-01,Sweden
15,ZEZE,Kodak Black,45028,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-01-01,Sweden
16,Better Now,Post Malone,44199,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-01-01,Sweden
17,Always Remember Us This Way,Lady Gaga,43806,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2019-01-01,Sweden
18,In My Mind,Dynoro,42625,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019-01-01,Sweden
19,High Hopes,Panic! At The Disco,42426,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-01,Sweden
20,Happier,Marshmello,42110,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-01,Sweden
1,Shallow,Lady Gaga,136962,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019-01-02,Sweden
