Position,Track Name,Artist,Streams,URL,date,region
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1867789,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-01,United States
2,Wow.,Post Malone,1564946,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-01,United States
3,SICKO MODE,Travis Scott,1454622,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-01,United States
4,"thank u, next",Ariana Grande,1397512,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-01,United States
5,Going Bad (feat. Drake),Meek Mill,1245437,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-01-01,United States
6,Mo Bamba,Sheck Wes,1188824,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-01-01,United States
7,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1178459,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-01-01,United States
8,ZEZE,Kodak Black,1163374,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-01-01,United States
9,Without Me,Halsey,972371,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-01,United States
10,Leave Me Alone,Flipp Dinero,858875,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019-01-01,United States
11,Lucid Dreams,Juice WRLD,804928,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-01-01,United States
12,Wake Up in the Sky,Gucci Mane,800164,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-01-01,United States
13,Happier,Marshmello,736137,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-01,United States
14,a lot,21 Savage,708965,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-01-01,United States
15,Money,Cardi B,697968,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019-01-01,United States
16,MIA (feat. Drake),Bad Bunny,693951,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,United States
17,I Like It,Cardi B,692217,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019-01-01,United States
18,Look Back at It,A Boogie Wit da Hoodie,685428,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-01-01,United States
19,Better Now,Post Malone,677444,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-01-01,United States
20,SAD!,XXXTENTACION,672912,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-01-01,United States
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1925187,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-02,United States
2,Wow.,Post Malone,1789563,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-02,United States
3,Going Bad (feat. Drake),Meek Mill,1297162,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-01-02,United States
4,"thank u, next",Ariana Grande,1251681,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-02,United States
5,SICKO MODE,Travis Scott,1218189,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-02,United States
6,Without Me,Halsey,1166885,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-02,United States
7,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1126611,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-01-02,United States
8,ZEZE,Kodak Black,1097790,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-01-02,United States
9,Mo Bamba,Sheck Wes,988206,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-01-02,United States
10,Leave Me Alone,Flipp Dinero,871167,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019-01-02,United States
11,Look Back at It,A Boogie Wit da Hoodie,810414,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-01-02,United States
12,Lucid Dreams,Juice WRLD,750997,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-01-02,United States
13,a lot,21 Savage,750723,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-01-02,United States
14,Wake Up in the Sky,Gucci Mane,739250,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-01-02,United States
15,High Hopes,Panic! At The Disco,724136,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-02,United States
16,imagine,Ariana Grande,704353,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019-01-02,United States
17,Happier,Marshmello,686246,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-02,United States
18,SAD!,XXXTENTACION,684131,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-01-02,United States
19,Better Now,Post Malone,683458,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-01-02,United States
20,monster,21 Savage,676569,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,2019-01-02,United States
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1970331,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-03,United States
2,Wow.,Post Malone,1837136,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-03,United States
3,Going Bad (feat. Drake),Meek Mill,1382672,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-01-03,United States
4,SICKO MODE,Travis Scott,1282074,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-03,United States
5,"thank u, next",Ariana Grande,1278485,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019-01-03,United States
6,Without Me,Halsey,1203214,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019-01-03,United States
7,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1185730,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019-01-03,United States
8,ZEZE,Kodak Black,1160305,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019-01-03,United States
9,Mo Bamba,Sheck Wes,1040468,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019-01-03,United States
10,Leave Me Alone,Flipp Dinero,918596,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019-01-03,United States
11,Look Back at It,A Boogie Wit da Hoodie,844203,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019-01-03,United States
12,a lot,21 Savage,785195,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019-01-03,United States
13,Wake Up in the Sky,Gucci Mane,781455,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019-01-03,United States
14,Lucid Dreams,Juice WRLD,771811,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019-01-03,United States
15,High Hopes,Panic! At The Disco,750846,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019-01-03,United States
16,imagine,Ariana Grande,729433,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019-01-03,United States
17,Better Now,Post Malone,712609,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019-01-03,United States
18,SAD!,XXXTENTACION,708038,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019-01-03,United States
19,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,704242,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,2019-01-03,United States
20,Happier,Marshmello,702596,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-03,United States
1,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1918016,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-01-04,United States
2,Wow.,Post Malone,1859422,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-01-04,United States
3,Going Bad (feat. Drake),Meek Mill,1394910,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019-01-04,United States
4,SICKO MODE,Travis Scott,1326208,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019-01-04,United States
